method,factor,label,time_bin,time,median,lower,upper,n
MEFISTO,factor_1,RUS,9,919.0,-1.5262047052383423,-1.7142452597618105,-1.0233423709869385,12
MEFISTO,factor_1,RUS,10,1011.5,-1.4224002957344055,-1.6716263592243195,-1.225819855928421,12
MEFISTO,factor_1,RUS,11,1101.0,-1.371859431266785,-1.5057499408721924,-1.34677654504776,3
MEFISTO,factor_2,FIN/EST,0,62.5,1.2624169661103652,0.9227352738380432,1.7050088047981264,142
MEFISTO,factor_2,FIN/EST,1,165.0,1.577283263206482,1.2441014051437378,1.908706191899648,97
MEFISTO,factor_2,FIN/EST,2,293.5,1.4832978248596191,1.1206786181845145,1.868597570174518,82
MEFISTO,factor_2,FIN/EST,3,386.0,1.1568732868426514,0.7978854328393936,1.709844946861267,88
MEFISTO,factor_2,FIN/EST,4,482.0,0.9660635590553284,0.6575080118381139,1.2835168838500977,113
MEFISTO,factor_2,FIN/EST,5,576.5,0.9158236866336269,0.4758275672793388,1.2910058013178167,116
MEFISTO,factor_2,FIN/EST,6,669.0,0.7276476557044076,0.32461789701440336,1.1734017874473506,107
MEFISTO,factor_2,FIN/EST,7,712.0,0.9161391854286194,0.717843655775355,1.1150018666902763,13
MEFISTO,factor_2,FIN/EST,8,854.0,0.6845746899215553,0.25045402348041534,1.0206629633903503,71
MEFISTO,factor_2,FIN/EST,9,887.0,0.8501055291471102,0.28080205672844827,1.0895449805542454,8
MEFISTO,factor_2,FIN/EST,10,1059.0,0.3832806944847107,0.03280099056880112,0.8429763559255967,8
MEFISTO,factor_2,FIN/EST,11,1098.5,0.5754547177071608,0.2636865973472595,0.897397075215303,62
MEFISTO,factor_2,RUS,0,102.0,0.6709609925746918,0.3292200416326523,1.0652147339413867,6
MEFISTO,factor_2,RUS,1,185.0,0.6159345507621765,0.26600726681814024,1.0012871763860167,75
MEFISTO,factor_2,RUS,2,264.0,0.4970372915267944,-0.10277049468869284,1.0470384359359741,115
MEFISTO,factor_2,RUS,3,365.0,0.3202584385871887,-0.1259688436985016,0.7324485778808594,125
MEFISTO,factor_2,RUS,4,449.0,0.2576382756233215,-0.0158614926040172,0.6432497501373291,101
MEFISTO,factor_2,RUS,5,549.0,0.3407609462738037,-0.0697867234371287,0.9636483788490297,81
MEFISTO,factor_2,RUS,6,638.0,0.518140686814353,0.1152979638427496,0.9880579113960266,56
MEFISTO,factor_2,RUS,7,725.0,0.4732825756072998,0.09490993013890389,0.7469004929809298,47
MEFISTO,factor_2,RUS,8,829.5,0.014655100181698801,-0.30135416984558105,0.5631086081266403,24
MEFISTO,factor_2,RUS,9,919.0,0.22828175872564316,0.12016267238803743,0.606657937169075,12
MEFISTO,factor_2,RUS,10,1011.5,0.010747199878096598,-0.37882246822118754,0.3102156668901443,12
MEFISTO,factor_2,RUS,11,1101.0,-0.2072118520736694,-0.32388477027416224,0.03542770445346832,3
MEFISTO,factor_3,FIN/EST,0,62.5,-1.8742695450782776,-1.9127915501594543,-1.8528732359409334,142
