subject_id,factor_1,factor_2
P007857,0.028882640769588255,1.7362672628977887
P008119,-0.26225690020402065,1.7164061484441762
P008543,-0.00759597918896926,1.727638248735996
P008579,-0.1487931069122663,1.6907075551390862
P008633,0.46893313419952787,1.7592654906600782
P008723,-0.09737724350903598,1.692074235860888
P008939,-0.5241142755273549,1.7288647648050681
P009219,0.6224291231934769,1.7175616009424368
P009291,-0.11969599351830579,1.616324402087794
P009746,-0.06831668800540674,1.6872587880993768
P009880,0.8330539883473785,1.715983140806314
P010096,-0.44885317299265187,1.5826021191693345
P010313,0.881055037972014,1.7463113778640833
P010322,-0.23716245926442303,1.663347939663178
P010936,-0.8624247189760935,1.639662192968242
P011108,-0.7475306924440195,1.7091909633821123
P011207,0.9462012478785532,1.7556374243805284
P013454,0.42744032183658714,1.7554721004960674
P013701,-0.22770310396727236,1.7288789749226119
P013823,0.021623881063892462,1.704803284898167
P013960,-0.6871783966167584,1.6527789923287226
P014605,-0.46302890384175094,1.7186410198447464
P014713,0.2209380349861479,1.6995658772083777
P014839,-0.4276729406424034,1.6092951805903353
P015091,-0.301462356919123,1.6787825649988093
P015163,-0.5352497538945331,1.6223822778320192
P016497,-0.76211899364479,1.7095580683269969
P016574,-1.2611046795874263,1.6394638832705448
P016803,-0.7656667176435604,1.6195553163359893
P017255,0.31966667911669616,1.7704989472691062
P017671,-0.44482529914505403,1.6593044433810864
P017743,1.029920120873705,1.7323703568434379
P018832,-0.27801749172699886,1.6378199531439384
P019222,-0.03504382466073972,1.6984578203503575
P019475,-0.11036860050610317,1.6839797714399192
P019854,-1.1078234823396447,1.5017428682490415
P019980,-0.8110191152008125,1.6085458745495878
P020604,-0.9226813567575717,1.5842579825934135
P020631,-1.3911717994280297,1.441931810649462
P020799,-1.381846547446867,1.643657674508768
P020861,-1.232316682155021,1.6731862428956592
P021343,-0.25140301935443016,1.5917449140545419
P021772,-0.9561899723070107,1.5707414282118781
P022130,-0.4207965558583851,1.6904438904055874
P022222,-0.9190146216882162,1.6936990411230206
P022384,-1.234455109233188,1.5706496060936679
P023918,-0.966253630874571,1.751551222191627
P026562,-0.846120445137994,1.687922102411988
T000094,-0.3937101509201199,1.6177625039297066
T000272,-0.4451677766584127,1.586882111636195
T000461,-0.5462438002661175,1.6631888224825118
T002534,-0.41658469760466477,1.6150116137965718
T003353,-0.1888879751330205,1.635163274803725
T003355,0.11826750051518167,1.6696793856602647
T003745,-0.2815297961496015,1.6384565622446967
